names,labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308
Mallanna-Regular,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,118,195,236,246,228,179,96,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,184,232,225,190,172,195,228,225,160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,181,242,183,89,46,40,49,101,192,233,153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,235,225,89,15,0,0,1,20,99,217,217,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,246,171,39,0,0,0,0,0,42,162,241,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,250,127,25,0,0,0,0,0,26,125,251,209,9,0,0,0,0,0,0,0
AmstelvarAlpha-VF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,96,192,237,242,213,135,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,171,251,218,159,158,216,251,215,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,131,253,199,50,0,0,44,196,253,175,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,219,241,134,0,0,0,0,131,240,240,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,248,236,115,0,0,0,0,112,235,238,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,231,245,154,14,0,0,3,140,242,179,7,0,0,0,0,0,0,0,0
Bahianita-Regular,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,255,255,255,255,255,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,236,112,112,112,112,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,255,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,255,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,255,51,0,0,0,0,0,0,0,0,0,0,0,0,0
SonsieOne-Regular,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91,223,237,211,186,165,150,142,141,147,168,208,236,91,0,0,0,0,0,0,0,0,0,0,0,0,0,34,227,255,255,255,255,255,255,255,255,255,255,255,255,129,0,0,0,0,0,0,0,0,0,0,0,0,0,110,255,255,255,255,255,255,255,255,255,255,255,255,255,105,0,0,0,0,0,0,0,0,0,0,0,0,3,212,255,245,234,253,255,255,255,255,255,255,255,255,253,57,0,0,0,0,0,0,0,0,0,0,0,0,65,253,255,176,45,51,119,188,241,255,255,255,255,255,207,20,0,0,0,0,0,0,0,0,0,0,0,2,166,255,241,106,1,0,0,0,15,68,127,177,214,202,74,3,0,0,0,0,0
DarkerGrotesque-Bold,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,167,196,196,196,196,196,196,196,196,196,182,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,212,242,242,242,242,242,242,242,242,242,225,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,230,242,221,208,208,208,208,208,208,208,194,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,237,205,135,94,94,94,94,94,94,94,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,244,170,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193,251,159,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CormorantSC-Regular,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,169,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,136,231,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,197,228,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,107,147,224,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,103,89,101,223,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,102,31,91,223,153,0,0,0,0,0,0,0,0,0,0,0
Kadwa-Bold,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,76,157,212,241,251,237,130,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,191,253,255,255,255,255,255,146,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,88,229,255,255,253,247,241,239,240,128,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,227,255,255,245,212,160,119,105,112,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,184,255,255,243,168,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,252,255,250,182,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,171,255,255,225,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GemunuLibre[wght],7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,74,80,80,80,80,80,80,89,141,226,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,12,12,12,12,12,45,146,198,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,190,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,109,201,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,158,160,7,0,0,0,0,0,0,0,0,0
SourceCodePro-Bold,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,99,178,226,246,241,205,141,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,177,231,244,251,254,253,248,238,215,127,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,184,242,255,255,255,255,255,255,255,252,226,138,30,0,0,0,0,0,0,0,0,0,0,0,0,0,12,167,239,255,253,217,142,101,104,160,233,255,254,216,116,2,0,0,0,0,0,0,0,0,0,0,0,0,59,217,254,255,221,134,37,8,10,49,154,230,255,248,184,42,0,0,0,0,0,0,0,0,0,0,0,0,107,229,255,255,183,66,0,0,0,0,59,191,254,255,217,103,0,0,0,0,0,0
CherrySwash-Bold,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,254,255,255,255,255,255,255,253,189,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113,255,255,253,250,250,252,254,255,255,224,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113,255,253,224,171,167,191,226,249,255,255,162,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113,255,245,146,0,0,2,60,199,253,255,221,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,217,209,125,0,0,0,0,142,243,255,223,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,64,61,36,0,0,0,9,148,244,255,185,6,0,0,0,0,0,0,0
